SMPVR Participant ID = 07 Gender = M Age = 26 Speed = 0.5 LogFrequency = 0.025
Current Order of Blocks 10 20 1 10 20 7 10 20 8 10 20 5 10 20 2 10 20 4 10 20 3 10 20 6 10
blockLog,WalkDirectionForwardLog,forwardEyeLog,forwardEyeColorLog,TimeStampLog,leftButtonLog,rightButtonLog,cameraX,cameraY,cameraZ
Interim,0,0,0,13.04.25.697,0,0,346.0952,171.4296,347.1673
Interim,0,0,0,13.04.26.190,0,0,346.0465,171.3651,347.2082
Interim,0,0,0,13.04.26.191,0,0,346.0465,171.3651,347.2082
Interim,0,0,0,13.04.26.192,0,0,346.0465,171.3651,347.2082
Interim,0,0,0,13.04.26.192,0,0,346.0465,171.3651,347.2082
Interim,0,0,0,13.04.26.193,0,0,346.0465,171.3651,347.2082
Interim,0,0,0,13.04.26.194,0,0,346.0465,171.3651,347.2082
Interim,0,0,0,13.04.26.195,0,0,346.0465,171.3651,347.2082
Interim,0,0,0,13.04.26.195,0,0,346.0465,171.3651,347.2082
Interim,0,0,0,13.04.26.196,0,0,346.0465,171.3651,347.2082
Interim,0,0,0,13.04.26.197,0,0,346.0465,171.3651,347.2082
Interim,0,0,0,13.04.26.197,0,0,346.0465,171.3651,347.2082
Interim,0,0,0,13.04.26.198,0,0,346.0465,171.3651,347.2082
Interim,0,0,0,13.04.26.199,0,0,346.0465,171.3651,347.2082
Interim,0,0,0,13.04.26.199,0,0,346.0465,171.3651,347.2082
Interim,0,0,0,13.04.26.229,0,0,3.94318,209.433,16.20342
Interim,0,0,0,13.04.26.242,0,0,0.9082216,203.1811,17.25907
Interim,0,0,0,13.04.26.263,0,0,0.8921339,202.2215,15.98797
Interim,0,0,0,13.04.26.297,0,0,0.5613831,201.407,14.68771
Interim,0,0,0,13.04.26.321,0,0,0.2943366,200.6261,13.70875
Interim,0,0,0,13.04.26.342,0,0,359.9576,199.7393,12.60057
Interim,0,0,0,13.04.26.371,0,0,359.6082,198.9275,11.57357
Interim,0,0,0,13.04.26.398,0,0,359.3994,197.6598,10.28656
Interim,0,0,0,13.04.26.419,0,0,359.3407,196.8964,9.496443
Interim,0,0,0,13.04.26.442,0,0,359.1546,196.3504,8.538344
Interim,0,0,0,13.04.26.465,0,0,358.7888,196.1288,7.456716
Interim,0,0,0,13.04.26.487,0,0,358.4113,196.1259,6.38385
Interim,0,0,0,13.04.26.518,0,0,358.0786,196.1812,5.25613
Interim,0,0,0,13.04.26.543,0,0,357.4908,196.0978,3.446095
Interim,0,0,0,13.04.26.565,0,0,356.7833,195.8816,2.324759
Interim,0,0,0,13.04.26.588,0,0,355.9248,195.47,1.33206
Interim,0,0,0,13.04.26.621,0,0,354.5061,194.4519,359.7576
Interim,0,0,0,13.04.26.643,0,0,353.5758,193.5227,358.8567
Interim,0,0,0,13.04.26.674,0,0,352.6195,192.5158,358.2296
Interim,0,0,0,13.04.26.688,0,0,351.6226,191.3574,357.8157
Interim,0,0,0,13.04.26.722,0,0,350.3196,189.1603,357.3033
Interim,0,0,0,13.04.26.744,0,0,349.6229,187.4344,356.9413
Interim,0,0,0,13.04.26.767,0,0,349.0016,185.3887,356.5741
Interim,0,0,0,13.04.26.788,0,0,348.447,182.9697,356.1089
Interim,0,0,0,13.04.26.831,0,0,347.5949,179.3574,355.7112
Interim,0,0,0,13.04.26.839,0,0,347.3504,178.1367,355.7339
Interim,0,0,0,13.04.26.866,0,0,346.6942,174.6373,355.9179
Interim,0,0,0,13.04.26.889,0,0,346.3532,172.4553,356.0706
Interim,0,0,0,13.04.26.923,0,0,345.8377,169.6393,356.5626
Interim,0,0,0,13.04.26.945,0,0,345.5824,167.945,357.0699
Interim,0,0,0,13.04.26.969,0,0,345.4417,166.3886,357.6125
Interim,0,0,0,13.04.26.990,0,0,345.3677,165.6855,357.8551
Interim,0,0,0,13.04.27.013,0,0,345.0298,163.8342,358.4596
Interim,0,0,0,13.04.27.046,0,0,344.697,162.3632,359.0334
Interim,0,0,0,13.04.27.069,0,0,344.3692,161.5781,359.2112
Interim,0,0,0,13.04.27.090,0,0,344.0232,160.873,359.4292
Interim,0,0,0,13.04.27.113,0,0,343.6259,160.1779,359.8423
Interim,0,0,0,13.04.27.143,0,0,343.2147,159.5952,0.1535162
Interim,0,0,0,13.04.27.171,0,0,342.5525,158.7621,0.9901512
Interim,0,0,0,13.04.27.190,0,0,342.1861,158.3602,1.484551
Interim,0,0,0,13.04.27.215,0,0,341.8406,158.102,1.807068
