SMPVR Participant ID = 13 Gender = K Age = 21 Speed = 0.5 LogFrequency = 0.025
Current Order of Blocks 10 20 8 10 20 6 10 20 5 10 20 4 10 20 7 10 20 3 10 20 1 10 20 2 10
blockLog,WalkDirectionForwardLog,forwardEyeLog,forwardEyeColorLog,TimeStampLog,leftButtonLog,rightButtonLog,cameraX,cameraY,cameraZ
Interim,0,0,0,13.21.40.692,0,0,17.94022,186.8133,5.204037
Interim,0,0,0,13.21.41.161,0,0,17.26331,186.5832,5.180511
Interim,0,0,0,13.21.41.162,0,0,17.26331,186.5832,5.180511
Interim,0,0,0,13.21.41.163,0,0,17.26331,186.5832,5.180511
Interim,0,0,0,13.21.41.164,0,0,17.26331,186.5832,5.180511
Interim,0,0,0,13.21.41.165,0,0,17.26331,186.5832,5.180511
Interim,0,0,0,13.21.41.165,0,0,17.26331,186.5832,5.180511
Interim,0,0,0,13.21.41.167,0,0,17.26331,186.5832,5.180511
Interim,0,0,0,13.21.41.167,0,0,17.26331,186.5832,5.180511
Interim,0,0,0,13.21.41.168,0,0,17.26331,186.5832,5.180511
Interim,0,0,0,13.21.41.169,0,0,17.26331,186.5832,5.180511
Interim,0,0,0,13.21.41.169,0,0,17.26331,186.5832,5.180511
Interim,0,0,0,13.21.41.170,0,0,17.26331,186.5832,5.180511
Interim,0,0,0,13.21.41.171,0,0,17.26331,186.5832,5.180511
Interim,0,0,0,13.21.41.171,0,0,17.26331,186.5832,5.180511
Interim,0,0,0,13.21.41.206,0,0,318.0862,192.5099,9.043594
Interim,0,0,0,13.21.41.216,0,0,323.2242,190.8221,9.606307
Interim,0,0,0,13.21.41.241,0,0,325.6574,190.246,9.879498
Interim,0,0,0,13.21.41.264,0,0,327.0454,189.8799,10.17202
Interim,0,0,0,13.21.41.288,0,0,328.4973,189.5019,10.53758
Interim,0,0,0,13.21.41.309,0,0,330.3059,189.2021,10.67698
Interim,0,0,0,13.21.41.336,0,0,332.281,188.8789,10.90531
Interim,0,0,0,13.21.41.365,0,0,335.5672,188.2548,11.27923
Interim,0,0,0,13.21.41.387,0,0,337.7643,187.9818,11.26435
Interim,0,0,0,13.21.41.408,0,0,339.7301,188.0204,10.70376
Interim,0,0,0,13.21.41.442,0,0,342.8279,187.9415,9.983331
Interim,0,0,0,13.21.41.465,0,0,344.5852,188.1563,9.573677
Interim,0,0,0,13.21.41.493,0,0,346.433,188.5051,9.22238
Interim,0,0,0,13.21.41.509,0,0,348.3264,188.7228,8.945499
Interim,0,0,0,13.21.41.532,0,0,350.0784,188.8514,8.580522
Interim,0,0,0,13.21.41.565,0,0,352.2424,188.8903,8.333233
Interim,0,0,0,13.21.41.588,0,0,353.2398,188.8723,8.051914
Interim,0,0,0,13.21.41.610,0,0,353.973,188.7909,7.875967
Interim,0,0,0,13.21.41.632,0,0,354.4449,188.7147,7.730208
Interim,0,0,0,13.21.41.666,0,0,354.8187,188.6154,7.368521
Interim,0,0,0,13.21.41.688,0,0,355.15,188.4456,7.115081
Interim,0,0,0,13.21.41.710,0,0,355.4927,188.299,6.89528
Interim,0,0,0,13.21.41.733,0,0,355.949,188.2182,6.503012
Interim,0,0,0,13.21.41.766,0,0,356.9417,188.149,5.932144
Interim,0,0,0,13.21.41.789,0,0,357.7269,188.0891,5.512284
Interim,0,0,0,13.21.41.812,0,0,358.5964,188.0492,4.885877
Interim,0,0,0,13.21.41.834,0,0,359.4774,188.1589,4.571462
Interim,0,0,0,13.21.41.867,0,0,0.5208359,188.4872,4.907031
Interim,0,0,0,13.21.41.889,0,0,1.005308,188.6665,5.16284
Interim,0,0,0,13.21.41.914,0,0,1.367294,188.7379,5.416002
Interim,0,0,0,13.21.41.936,0,0,1.668388,188.7099,5.665266
Interim,0,0,0,13.21.41.963,0,0,2.018393,188.5619,5.858934
Interim,0,0,0,13.21.41.992,0,0,2.707021,188.2335,5.92248
Interim,0,0,0,13.21.42.014,0,0,3.243684,187.9967,5.874826
Interim,0,0,0,13.21.42.037,0,0,3.822037,187.7868,5.840764
Interim,0,0,0,13.21.42.059,0,0,4.37921,187.611,5.781327
Interim,0,0,0,13.21.42.093,0,0,5.076631,187.5147,5.727971
Interim,0,0,0,13.21.42.126,0,0,5.341489,187.5614,5.748252
Interim,0,0,0,13.21.42.136,0,0,5.432823,187.6942,5.795183
Interim,0,0,0,13.21.42.157,0,0,5.431517,187.8866,5.859191
Interim,0,0,0,13.21.42.191,0,0,5.300242,188.1254,5.892643
Interim,0,0,0,13.21.42.213,0,0,5.167538,188.2542,5.875069
Interim,0,0,0,13.21.42.236,0,0,5.035876,188.3544,5.862995
Interim,0,0,0,13.21.42.258,0,0,4.94928,188.4153,5.875047
Interim,0,0,0,13.21.42.292,0,0,4.899739,188.4666,5.849893
Interim,0,0,0,13.21.42.313,0,0,4.90695,188.4584,5.881332
Interim,0,0,0,13.21.42.336,0,0,4.934838,188.4278,5.903739
Interim,0,0,0,13.21.42.358,0,0,4.961942,188.3822,5.878746
Interim,0,0,0,13.21.42.391,0,0,4.955935,188.3308,5.788171
Interim,0,0,0,13.21.42.414,0,0,4.939007,188.3209,5.736413
Interim,0,0,0,13.21.42.437,0,0,4.953948,188.3075,5.780034
Interim,0,0,0,13.21.42.459,0,0,4.940536,188.3139,5.885988
Interim,0,0,0,13.21.42.492,0,0,4.93882,188.3442,6.076618
Interim,0,0,0,13.21.42.514,0,0,4.919449,188.3067,6.206114
Interim,0,0,0,13.21.42.537,0,0,4.906117,188.2674,6.290565
Interim,0,0,0,13.21.42.559,0,0,4.893445,188.2261,6.374614
Interim,0,0,0,13.21.42.587,0,0,4.891529,188.1845,6.423034
Interim,0,0,0,13.21.42.615,0,0,4.899833,188.1237,6.430497
Interim,0,0,0,13.21.42.638,0,0,4.918408,188.0968,6.446635
Interim,0,0,0,13.21.42.662,0,0,4.916101,188.0729,6.430573
Interim,0,0,0,13.21.42.684,0,0,4.951113,188.0847,6.429765
Interim,0,0,0,13.21.42.717,0,0,5.021067,188.0677,6.513947
Interim,0,0,0,13.21.42.746,0,0,5.049536,188.0702,6.564383
Interim,0,0,0,13.21.42.762,0,0,5.030987,188.0542,6.585872
Interim,0,0,0,13.21.42.783,0,0,4.973056,188.0642,6.607149
Interim,0,0,0,13.21.42.818,0,0,4.924273,188.0417,6.717753
Interim,0,0,0,13.21.42.840,0,0,4.920904,188.0056,6.779654
Interim,0,0,0,13.21.42.863,0,0,4.907972,187.9536,6.808727
Interim,0,0,0,13.21.42.885,0,0,4.949693,187.8771,6.821677
Interim,0,0,0,13.21.42.907,0,0,4.994501,187.7948,6.840115
Interim,0,0,0,13.21.42.940,0,0,5.057807,187.6625,6.887148
Interim,0,0,0,13.21.42.963,0,0,5.061746,187.5814,6.878131
Interim,0,0,0,13.21.42.985,0,0,5.044212,187.5081,6.901348
Interim,0,0,0,13.21.43.007,0,0,5.030094,187.4648,6.919474
Interim,0,0,0,13.21.43.041,0,0,4.959442,187.413,7.006649
Interim,0,0,0,13.21.43.057,0,0,4.93078,187.4019,7.032336
Interim,0,0,0,13.21.43.086,0,0,4.795898,187.3405,7.120043
Interim,0,0,0,13.21.43.108,0,0,4.682881,187.3272,7.165416
Interim,0,0,0,13.21.43.142,0,0,4.528278,187.3129,7.239207
Interim,0,0,0,13.21.43.165,0,0,4.439584,187.3261,7.276758
Interim,0,0,0,13.21.43.188,0,0,4.383584,187.3444,7.290171
Interim,0,0,0,13.21.43.214,0,0,4.313594,187.3871,7.333078
Interim,0,0,0,13.21.43.245,0,0,4.23557,187.4727,7.338474
Interim,0,0,0,13.21.43.266,0,0,4.229984,187.5076,7.380908
Interim,0,0,0,13.21.43.289,0,0,4.290342,187.5376,7.419578
Interim,0,0,0,13.21.43.311,0,0,4.379599,187.5377,7.400535
Interim,0,0,0,13.21.43.333,0,0,4.456295,187.5407,7.358123
Interim,0,0,0,13.21.43.371,0,0,4.602458,187.4825,7.39519
Interim,0,0,0,13.21.43.388,0,0,4.68188,187.4376,7.456181
Interim,0,0,0,13.21.43.417,0,0,4.709948,187.4044,7.504034
Interim,0,0,0,13.21.43.432,0,0,4.746107,187.3877,7.599575
Interim,0,0,0,13.21.43.466,0,0,4.820839,187.3272,7.674582
