SMPVR Participant ID = 29 Gender = M Age = 27 Speed = 0.5 LogFrequency = 0.025
Current Order of Blocks 10 20 2 10 20 3 10 20 4 10 20 6 10 20 1 10 20 5 10 20 7 10 20 8 10
blockLog,WalkDirectionForwardLog,forwardEyeLog,forwardEyeColorLog,TimeStampLog,leftButtonLog,rightButtonLog,cameraX,cameraY,cameraZ
Interim,0,0,0,17.18.48.822,0,0,33.45742,171.6177,4.434474
Interim,0,0,0,17.18.49.300,0,0,33.46205,171.6191,4.438088
Interim,0,0,0,17.18.49.302,0,0,33.46205,171.6191,4.438088
Interim,0,0,0,17.18.49.303,0,0,33.46205,171.6191,4.438088
Interim,0,0,0,17.18.49.304,0,0,33.46205,171.6191,4.438088
Interim,0,0,0,17.18.49.305,0,0,33.46205,171.6191,4.438088
Interim,0,0,0,17.18.49.305,0,0,33.46205,171.6191,4.438088
Interim,0,0,0,17.18.49.307,0,0,33.46205,171.6191,4.438088
Interim,0,0,0,17.18.49.307,0,0,33.46205,171.6191,4.438088
Interim,0,0,0,17.18.49.308,0,0,33.46205,171.6191,4.438088
Interim,0,0,0,17.18.49.309,0,0,33.46205,171.6191,4.438088
Interim,0,0,0,17.18.49.309,0,0,33.46205,171.6191,4.438088
Interim,0,0,0,17.18.49.310,0,0,33.46205,171.6191,4.438088
Interim,0,0,0,17.18.49.311,0,0,33.46205,171.6191,4.438088
Interim,0,0,0,17.18.49.311,0,0,33.46205,171.6191,4.438088
Interim,0,0,0,17.18.49.349,0,0,33.41523,171.4947,4.574962
Interim,0,0,0,17.18.49.350,0,0,33.41523,171.4947,4.574962
Interim,0,0,0,17.18.49.374,0,0,33.41491,171.6454,4.627068
Interim,0,0,0,17.18.49.405,0,0,33.42323,171.6241,4.645756
Interim,0,0,0,17.18.49.428,0,0,33.41503,171.5955,4.633947
Interim,0,0,0,17.18.49.452,0,0,33.42667,171.5494,4.634002
Interim,0,0,0,17.18.49.478,0,0,33.40979,171.5135,4.632591
Interim,0,0,0,17.18.49.507,0,0,33.36724,171.5155,4.599317
Interim,0,0,0,17.18.49.531,0,0,33.39328,171.5204,4.604912
Interim,0,0,0,17.18.49.552,0,0,33.41082,171.5561,4.660421
Interim,0,0,0,17.18.49.573,0,0,33.42225,171.5662,4.674233
Interim,0,0,0,17.18.49.607,0,0,33.37133,171.5633,4.665652
Interim,0,0,0,17.18.49.626,0,0,33.3688,171.558,4.658716
