SMPVR Participant ID = 36 Gender =  Age =  Speed = 0.5 LogFrequency = 0.025
Current Order of Blocks 10 20 5 10 20 7 10 20 3 10 20 1 10 20 2 10 20 8 10 20 4 10 20 6 10
blockLog,WalkDirectionForwardLog,forwardEyeLog,forwardEyeColorLog,TimeStampLog,leftButtonLog,rightButtonLog,cameraX,cameraY,cameraZ
Interim,0,0,0,14.07.41.029,0,0,357.0869,165.6754,1.806047
Interim,0,0,0,14.07.41.486,0,0,357.2954,165.2479,1.799055
Interim,0,0,0,14.07.41.487,0,0,357.2954,165.2479,1.799055
Interim,0,0,0,14.07.41.487,0,0,357.2954,165.2479,1.799055
Interim,0,0,0,14.07.41.488,0,0,357.2954,165.2479,1.799055
Interim,0,0,0,14.07.41.489,0,0,357.2954,165.2479,1.799055
Interim,0,0,0,14.07.41.489,0,0,357.2954,165.2479,1.799055
Interim,0,0,0,14.07.41.491,0,0,357.2954,165.2479,1.799055
Interim,0,0,0,14.07.41.491,0,0,357.2954,165.2479,1.799055
Interim,0,0,0,14.07.41.492,0,0,357.2954,165.2479,1.799055
Interim,0,0,0,14.07.41.493,0,0,357.2954,165.2479,1.799055
Interim,0,0,0,14.07.41.493,0,0,357.2954,165.2479,1.799055
Interim,0,0,0,14.07.41.494,0,0,357.2954,165.2479,1.799055
Interim,0,0,0,14.07.41.494,0,0,357.2954,165.2479,1.799055
Interim,0,0,0,14.07.41.495,0,0,357.2954,165.2479,1.799055
Interim,0,0,0,14.07.41.524,0,0,346.9003,172.1124,358.481
Interim,0,0,0,14.07.41.537,0,0,348.1109,172.7318,358.6725
Interim,0,0,0,14.07.41.559,0,0,347.9526,172.5533,359.0717
Interim,0,0,0,14.07.41.582,0,0,347.9189,172.46,359.2667
Interim,0,0,0,14.07.41.616,0,0,348.004,172.2883,359.519
Interim,0,0,0,14.07.41.639,0,0,348.1812,172.0898,359.731
Interim,0,0,0,14.07.41.658,0,0,348.3163,171.9504,359.8472
Interim,0,0,0,14.07.41.683,0,0,348.8221,171.5689,0.1666968
Interim,0,0,0,14.07.41.717,0,0,349.4247,171.1642,0.6161598
Interim,0,0,0,14.07.41.739,0,0,349.75,170.8182,0.961115
Interim,0,0,0,14.07.41.762,0,0,349.9235,170.465,1.309413
Interim,0,0,0,14.07.41.784,0,0,349.997,170.1094,1.694661
Interim,0,0,0,14.07.41.814,0,0,350.1366,169.6926,2.198296
Interim,0,0,0,14.07.41.839,0,0,350.4897,168.855,3.030074
Interim,0,0,0,14.07.41.862,0,0,350.6678,168.184,3.52683
